store,category,name,brand,price,promo_price,unit_price,unit,url,scraped_at
Delhaize,Sport en gezondheid,Davitamon Davitamon | Vitamine D Forte | tabletten,Davitamon,11.65,,"0,16 €/st",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Davitamon-Vitamine-D-Forte-tabletten/p/S2023010500670720000,2026-05-10T15:05:42.187446
Delhaize,Sport en gezondheid,Purasana Premium Matcha poeder | Bio,Purasana,13.69,,"273,80 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Premium-Matcha-poeder-Bio/p/S2025043000857700000,2026-05-10T15:05:42.762814
Delhaize,Sport en gezondheid,Purasana Cacaokernen | Bio,Purasana,9.49,,"79,08 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Cacaokernen-Bio/p/S2025043000857610000,2026-05-10T15:05:43.335537
Delhaize,Sport en gezondheid,Purasana Hennepzaden | Bio,Purasana,6.99,,"58,25 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Hennepzaden-Bio/p/S2025043000857660000,2026-05-10T15:05:43.901941
Delhaize,Sport en gezondheid,Purasana Kurkumapoeder | Bio,Purasana,6.99,,"69,90 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Kurkumapoeder-Bio/p/S2025043000857740000,2026-05-10T15:05:44.465932
Delhaize,Sport en gezondheid,Purasana Cacapoeder,Purasana,8.49,,"70,75 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Cacapoeder/p/S2025043000857750000,2026-05-10T15:05:45.023929
Delhaize,Sport en gezondheid,Purasana Rode Bietensap Poeder | Bio,Purasana,9.99,,"99,90 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Rode-Bietensap-Poeder-Bio/p/S2025043000857770000,2026-05-10T15:05:45.596907
Delhaize,Sport en gezondheid,Purasana Spirulina poeder | Bio,Purasana,7.39,,"73,90 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Spirulina-poeder-Bio/p/S2025043000857840000,2026-05-10T15:05:46.174413
Delhaize,Sport en gezondheid,Purasana Maca Poeder | Bio,Purasana,6.99,,"69,90 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Maca-Poeder-Bio/p/S2025043000857830000,2026-05-10T15:05:46.733816
Delhaize,Sport en gezondheid,Kazidomi Teunisbloem Borage 100mg,Kazidomi,16.65,,"193,60 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Teunisbloem-Borage-100mg/p/S2025052000126410000,2026-05-10T15:05:47.299223
Delhaize,Sport en gezondheid,Purasana Matchapoeder | Bio,Purasana,10.59,,"211,80 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Matchapoeder-Bio/p/S2025043000857870000,2026-05-10T15:05:47.869512
Delhaize,Sport en gezondheid,Purasana Gember poeder | Bio,Purasana,6.99,,"69,90 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Gember-poeder-Bio/p/S2025043000858140000,2026-05-10T15:05:48.434797
Delhaize,Sport en gezondheid,Kazidomi Passiebloem - Valeriaan | Bio,Kazidomi,9.75,,"121,88 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Passiebloem-Valeriaan-Bio/p/S2025050700861380000,2026-05-10T15:05:49.003924
Delhaize,Sport en gezondheid,Kazidomi Zinktabletten,Kazidomi,9.75,,"289,32 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Zinktabletten/p/S2025051900104100000,2026-05-10T15:05:49.580926
Delhaize,Sport en gezondheid,Kazidomi Spriruline | Bio,Kazidomi,9.95,,"110,56 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Spriruline-Bio/p/S2025052000125000000,2026-05-10T15:05:50.140269
Delhaize,Sport en gezondheid,Kazidomi Magnesium B6+,Kazidomi,15.75,,"291,67 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Magnesium-B6-/p/S2025052000126500000,2026-05-10T15:05:50.700564
Delhaize,Sport en gezondheid,Kazidomi Essentiele Olie | Ravintsara | Bio,Kazidomi,3.99,,"399,00 €/l",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Aromatherapie/Essentiele-Olie-Ravintsara-Bio/p/S2025052000129800000,2026-05-10T15:05:51.268117
Delhaize,Sport en gezondheid,Kazidomi Vitamine D3 & K2 | Bio,Kazidomi,11.85,,"282,14 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Vitamine-D3-and-K2-Bio/p/S2025052000127000000,2026-05-10T15:05:51.851748
Delhaize,Sport en gezondheid,Kazidomi Vitamine B12,Kazidomi,10.45,,"522,50 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Vitamine-B12/p/S2025052000126800000,2026-05-10T15:05:52.421810
Delhaize,Sport en gezondheid,Kazidomi Essentiele Olie | Citroen | Bio,Kazidomi,3.99,,"399,00 €/l",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Aromatherapie/Essentiele-Olie-Citroen-Bio/p/S2025052000127550000,2026-05-10T15:05:52.984865
Delhaize,Sport en gezondheid,Kazidomi Essentiele Olie | Pepermunt | Bio,Kazidomi,4.35,,"435,00 €/l",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Aromatherapie/Essentiele-Olie-Pepermunt-Bio/p/S2025052000129400000,2026-05-10T15:05:53.560505
Delhaize,Sport en gezondheid,Kazidomi Essentiele Olie | Teatree | Bio,Kazidomi,3.99,,"399,00 €/l",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Aromatherapie/Essentiele-Olie-Teatree-Bio/p/S2025052000130000000,2026-05-10T15:05:54.119600
Delhaize,Sport en gezondheid,NXT Level Sports Nutrition Clear Whey Perzik,NXT Level Sports Nutrition,19.99,,"66,63 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Clear-Whey-Perzik/p/S2025053000867510000,2026-05-10T15:05:54.674343
Delhaize,Sport en gezondheid,Vital Proteins Collagen Peptides | Marine Collagen,Vital Proteins,39.99,,"180,95 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Collagen-Peptides-Marine-Collagen/p/S2025061000869470000,2026-05-10T15:05:55.232504
Delhaize,Sport en gezondheid,Vital Proteins Vital Protein|Collageen Peptides|Chocolade,Vital Proteins,34.99,,"117,81 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Vital-Protein-Collageen-Peptides-Chocolade/p/S2025061000869460000,2026-05-10T15:05:55.796976
